,lat,lon,city,clouds,country,date,humidity,max_temp,wind_sp
0,-46.19,168.86,mataura,72,NZ,1579921241,60,66.99,8.01
1,-41.41,175.52,waipawa,83,NZ,1579921369,60,75.2,19.46
2,-51.62,-69.22,rio gallegos,30,AR,1579921082,87,46.4,5.82
3,40.6,-124.16,fortuna,90,US,1579920999,87,57.0,4.85
4,71.69,128.87,tiksi,0,RU,1579921258,78,-31.7,5.95
5,42.1,-79.24,jamestown,90,US,1579921247,86,44.01,16.11
6,-20.41,57.7,mahebourg,75,MU,1579921284,100,80.01,18.34
7,-33.65,115.33,busselton,0,AU,1579921249,28,88.0,5.37
8,71.97,102.5,khatanga,70,RU,1579921118,90,-22.83,7.87
9,33.6,56.92,tabas,0,IR,1579921636,48,37.4,4.7
10,-23.12,-134.97,rikitea,43,PF,1579921242,76,78.58,13.42
11,-29.95,-71.34,coquimbo,0,CL,1579921394,88,64.4,9.17
12,-17.71,-39.25,caravelas,100,BR,1579921263,80,80.04,28.27
13,42.16,-72.33,palmer,90,US,1579921288,86,36.0,3.36
14,69.45,-133.04,tuktoyaktuk,90,CA,1579921249,77,-2.2,9.17
15,60.38,92.63,teya,71,RU,1579921637,95,15.84,4.32
16,13.22,-59.52,bathsheba,20,BB,1579921250,78,78.8,12.75
17,59.7,30.79,nikolskoye,90,RU,1579920999,88,35.6,11.18
18,69.23,17.98,finnsnes,83,NO,1579921637,85,32.0,19.46
19,62.46,-114.35,yellowknife,40,CA,1579921197,84,3.2,10.29
20,32.35,-85.2,russell,1,US,1579921225,93,50.0,6.2
21,-54.8,-68.3,ushuaia,75,AR,1579921046,81,48.2,2.26
22,22.08,-159.32,kapaa,90,US,1579921247,73,78.8,12.75
23,21.35,-158.09,makakilo city,1,US,1579921421,50,80.6,9.17
24,22.89,-109.91,cabo san lucas,90,MX,1579921162,72,68.0,6.93
25,-16.48,-151.75,faanui,6,PF,1579921242,77,82.33,12.59
26,3.07,172.79,butaritari,100,KI,1579921266,71,84.51,3.96
27,17.49,44.13,najran,5,SA,1579921638,61,48.2,1.9
28,-26.65,15.16,luderitz,0,NA,1579921259,88,66.2,1.12
29,-42.88,147.33,hobart,75,AU,1579921206,40,73.99,19.46
